text,category
Syndrome bolte kya,Non-anti-LGBT+ content
"❤️Har barr ek naye josh k sath ek achha😎 content 🎉🎉🎉🎉.
Guru dev 🙏🙏🙏",Non-anti-LGBT+ content
She is trying to promote gangubai i think. 😂,Non-anti-LGBT+ content
Ye koi hasne ki baat ni hai,Non-anti-LGBT+ content
Jo paidaish se ho wo accha insan hai but jo khud se aisa Banta h usse hamesha Bach kar rahna,Non-anti-LGBT+ content
ग्रेट हो सर आप,Non-anti-LGBT+ content
Sir gay aur lesbian apni activities change kar sakte hai,Non-anti-LGBT+ content
" @VIKASH SARMA  india, prayagraj.",Non-anti-LGBT+ content
क्या बात है sir ji पहली बार in सब का मतलब समझ में आया है thanks a lot 😊😊😊😊🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗,Non-anti-LGBT+ content
Ekdam khara,Non-anti-LGBT+ content
"Is topic pe aap bimar lagte hai, it's natural mr.khan ,Soch badlo",Non-anti-LGBT+ content
Khan sir doctor ki likhi hui parchi samajh mein nahin aati is per video banai English kaise,Non-anti-LGBT+ content
Mentally bimar nhi hn sir yeh hormones change ke vajah se hote hn😒,Non-anti-LGBT+ content
सच मे सर आपकी पढ़ाने का तरीका देख के मन करता है हमेशा हम पढ़ते ही रहे,Non-anti-LGBT+ content
I got to know through this video that i am tom boy 🤣🤣🤣 good watch,Non-anti-LGBT+ content
Sir tomboy ke baare me information chahiye,Non-anti-LGBT+ content
😂,Non-anti-LGBT+ content
To karan Johar KY Hai??,Non-anti-LGBT+ content
"Ye homo sexual ka problem...sab vaccine ke karan hota hai....janm ke bad ya pahle jo koi bhi vaccine diye jate hai usi ke chalte ..time pe beard ,dadhi time pe nahi aana ..au bhi bohot se problem hote hai...but ham kuchh nahi kar sakte 😭😭😭😭😭",Non-anti-LGBT+ content
After watching badhai do,Non-anti-LGBT+ content
गाँव मे भी इंसान ही रहते है और भारत मे ज्यादातर लोग गाँव से ही है,Non-anti-LGBT+ content
soo yeh jo aap word use kr rhe bimari thts very wrong word sooo agr smjana phele aap samj lo yeh log gay lesbian kyu hote tabhi aap kisi ko amjaoge,Non-anti-LGBT+ content
Sir aapka convince tarike se es topic  ka ham asani se samajh gae,Non-anti-LGBT+ content
 @Atharv Kadam  nahi be.. Banda technical hu.. Meri job non tech hai.. That's why,Non-anti-LGBT+ content
Isme harmonal disbelance hota h,Non-anti-LGBT+ content
Hamara bhi koi dost banega please,Non-anti-LGBT+ content
"Sir, does Homosexuality occur only in humans, or in other species of animals as well?",Non-anti-LGBT+ content
MEKO LGTA THA HOMOSEXUAL MATLAB HOME ME SEX KARNE WALE 😂,Homophobia
Inme se koi bhi rog nhi hai,Non-anti-LGBT+ content
Single laundu parisan mat hu😂😂😂,Non-anti-LGBT+ content
"Baaki sab to thik hai but iska kya matlab hai ki ""Gaon me rah kar aayi hu to Kothe pe bhi ja sakti hu akele"" aapne kaise relate kiya isko.....Gandhi ki follower ho to shayd ye bhul gyi ki Gandhi ji ne kahaa tha ""India's soul lives in villages"" ....Indian culture, language and even agriculture jiska tum khaa rahi vo bhi ek gaaon ka Kisan hi paida karta hai ....""Jai Jawan n Jai Kisan"" ka nara jo shastri ji ne diya thaa to vo gaaon pe hi suit krta hai ....boarders pe ladne vaale jawan or Anaaj ugaane vaale kisan sab gaaon se hi aate hai....choose your words sensibly",Non-anti-LGBT+ content
Homo sexual chrosome ki garbari ke karan hota hai ya harmone ke karan pl. Video bana kar samjhaye,Non-anti-LGBT+ content
Your teaching style very good.,Non-anti-LGBT+ content
 @Jasmin poudel  nature ne kbi body male or felings female ki nhi di ye kuch log jo is k adi ho gae he glt smbhandh k wje se,Transphobia
" @LIMITED GAMER  tum agar dharam aur sanskriti ki baat kar rahe ho toh kah du... Ki.. Baaki dharmo mai y ho na ho par hindu dharam mai y bhaut pahle se hai... Kamasutra ko refer karo.. Aur jab koi aadmi aurto ko maarta hai rape karta hai.. Tab sabhyata aur sanskriti kaha jaati hai..?? 
Sorry par tum bhi dharam aur sanskriti k naam par logo ko draa rahe ho.. Or kuch nahi.... Ek hindu dharam hi aisa hai jo physically, mentally aur spiritually sab kuch karne ki azaadi deta hai...",Non-anti-LGBT+ content
 @Alveera Chouhan  बोलो जी,Non-anti-LGBT+ content
Inter sex je hota he ke hmari body lardka time hoti a PR chest lardi jesi hoti he hor nich ling larde jesa hota he,Non-anti-LGBT+ content
Bhaiyon kisi ko aise shabdo se mt bulao. Insan has kr jawab deta hai pr uske dil pr ky bidti hai bs wahi janta hai.,Non-anti-LGBT+ content
Bahoot bada confusion tha sir ....bahoot bahoot shukriya aapka ye confusion dur krne ke liye,Non-anti-LGBT+ content
Maa tujhe salam ✨,Non-anti-LGBT+ content
It's my first class and what a class!   Sir it's not only a class it is your emotion with knowledge,Non-anti-LGBT+ content
"Sir with due respect , dusro ko samjhane se pehle aap khud pehle ache se samajh lijiye Gender/Sexuality ke bare me. Half knowledge is more dangerous than no knowledge.",Non-anti-LGBT+ content
Puja kha naha k aayi ho,Non-anti-LGBT+ content
Chup bilkul chup _ himat kaise Hui teri muh kholne ki,Non-anti-LGBT+ content
Kyu tujhe btate h kya ki hm khush nhi h kuch bhi bolte h khush rhe kr ke to ye sb krate h kya,Non-anti-LGBT+ content
"Akshay, from this documentary, clearly we can see the place where you'd stayed, has witnessed incredible progress toward equality for LGBTQ people, as well as the inevitable backlash following such a challenge to the status quo. The intensification of transphobic discrimination and violence is reflected in record numbers of cases such as lack of legal protections against discrimination, and proposed laws to bar trans people from using restrooms and other public facilities that correspond to their gender identity.  But this place as you've shown us has overcame with all such difficulties they've been facing and gives them a short span exaltation. It is very instrumental that we've to understand gender as social rather than biological phenomenon. But people fails to understand often and have created stereotypes against these community. Btw I came to know about this documentary from your whatsp status. I can't relate this but i must say It's very hard to do such things and for this, you really need a brave heart and positive impulses to ignore such backlashes from our surroundings. And that's what you're trying. Keep it up brother. I'm glad at least one of my friends is trying his best  to pursue his best interests. Lastly, My best wishes for your next adventures. 😅🙌",Non-anti-LGBT+ content
Sir Jinana kiya hai..?,Non-anti-LGBT+ content
In India this is the problem not jn century😊,Non-anti-LGBT+ content
