text,category
A odeda mandan kunappi kandam vazhi maha duranthame ninne pole ullavar undayathaneda etavum valiya durantham,Non-anti-LGBT+ content
ഇത് കോഴിക്കോടൻ മാരുടെ വിജയം,Non-anti-LGBT+ content
Mumbail poyal ivarude thaനീ niram kaanamPaisa chodhichal koduthillel adikkukayum9 theri parayukayum cheyyum athuകൊണ്ട്  thanneya veruppu,Transphobia
Sreekandan nair അവരെ കളിയാക്കുന്നു എന്ന് എനിക്ക് തോന്നുന്നു,Non-anti-LGBT+ content
ayyeeeivanonnum naanam illeeeesnehikkunna aalinte munpil ingane okke abhiyachaal pooreeenthinaane publicine ingane kkaanikkunneee,Transphobia
Komalan gays onnum sheri alla Avarku nalla oru lyf kittila,Homophobia
Chechi ningalay polay ningal mathray ullu super topic ,Non-anti-LGBT+ content
aadhyam nadanna കുന്ദൻ ,Homophobia
Pink lamp thirumbi vandache,Non-anti-LGBT+ content
നശിച്ച ജന്തുക്കൾ നാണമില്ലേ ഇവർക്ക് പടച്ചോൻ നമ്മെ ഏവരെയും കാത്ത് രക്ഷിക്കട്ടെ അല്ലാഹുവേ ഇതിന്റെ പേരിൽ ഞങ്ങളെ ശിക്ഷിക്കല്ലേ നാഥാ അവർക്ക് മനസിലാക്കാനുള്ള ബോധം കൊടുക്ക് റബ്ബേ ,Homophobia
Ellathilum kanan nallathum athine parappikkanum oru Jadhi,Non-anti-LGBT+ content
ഓരോ സ്വവർഗനുരാഗിയുടെയും ജീവിതം അവസാനം ഇത്തരത്തിൽ ആണെന്ന് നിങ്ങൾ പിന്നെയും പിന്നെയും പറഞ്ഞു വെക്കുകയാണല്ലോ ഇത് മാറ്റാറായില്ലേ,Non-anti-LGBT+ content
ഈ dransgenderസിൽ പലരും പൂർണമായും പുരുഷൻ മാർ തന്നെയാണ് പിന്നെന്തിനാണ് പെണ്ണാകുന്നത് എന്ന് മനസിലാകുന്നില്ല ,Transphobia
രാത്രിയിൽ കൊച്ചിയിൽ നടക്കുന്നത് കൊച്ചിക്കാർക്ക് മാത്രം അറിയാം മൈര്,Non-anti-LGBT+ content
Njan epozhokey parayanam ennu vicharicha karyangal,Non-anti-LGBT+ content
രണ്ടാണുങ്ങൾ തമ്മിൽ ലിപ് ലോക്ക് നടത്തിയപ്പോഴേക്കും പലർക്കും കുരു പൊട്ടിഇനീം കേരളത്തിലെ ഗേ ലിപ് ലോക്ക് വീഡിയോ ധാരാളം ഇറങ്ങണം പ്രണയം രണ്ട് പേർക്ക് ഇടയിലാണ് മൂന്നാമത്തെ ആൾ ചൊറിഞ്ഞിട്ട് കാര്യമില്ല,Non-anti-LGBT+ content
Make up illankil pennine aanu pennu aayit thonnuka aaninu pennu aaknel makeup aavshyamanu,Transphobia
വിശേഷം വല്ലതും ആയാൽ പറയണേ,Non-anti-LGBT+ content
ശ്രീകണ്ടൻ ഇജ്‌ജാതി മണ്ടൻ,Non-anti-LGBT+ content
JITHEESH P J രണ്ടുപേരും നിൻറെ അച്ഛൻ ആണെന്ന് അറിഞ്ഞില്ല സോറി,Non-anti-LGBT+ content
ഇവനെ ഒകെയ് അടിച്ചു കൊല്ലാൻ ആ നാട്ടിൽ ആണുങ്ങൾ ഇല്ലേ,Homophobia
Negal patnare nokunudo,Non-anti-LGBT+ content
Mumbai police ile രാജുവേട്ടൻ മരണമാസ്സ്‌ ആണ് എന്നുള്ളവർ ഒരു like അടിച്ചേക്കു,Non-anti-LGBT+ content
കോഴിക്കോട് മലയോര മേഖല അതായത് കൊടുവള്ളി താമരശ്ശേരി മടവൂർ etc ഭാഗങ്ങളിൽ പയ്യൻ അല്ലെങ്കിൽ ചെറുക്കൻ എന്നിങ്ങനെ വിളിക്കുന്നതിന് പകരം,Non-anti-LGBT+ content
Dislike cheyata 342 perude mentality patti orthittu,Non-anti-LGBT+ content
Kandit entho pole ,Non-anti-LGBT+ content
Aneesha Anju താൻ പറഞ്ഞ മനുഷ്യ സംസ്ക്കാരം ആണ് മുകളിൽ പറഞ്ഞത്അല്ലാതേ താൻ ചെയ്തു എന്നല്ല,Non-anti-LGBT+ content
Sree kutty enn parayunna aa saadhanathinte tiktok videos onn kaananam ellaarum  I respect transgenders but orupaad peru vulgar aayitt dress cheyunnu oronn kaanikkaan vendi dress cheyunnu adhokke aanu mosham other than that nammalu manushyar aanu avarum manushyar aanu,Non-anti-LGBT+ content
പക്ഷേ ഇത് ഒന്നൊന്നര പാടായി പോയി,Non-anti-LGBT+ content
പുരുഷൻ മാർ ഇങ്ങനെ പുരുഷൻ മാരെ തന്നെ കല്യാണം കഴിച്ചാൽ നമ്മുടെ കേരളത്തിലെ സ്ത്രീകളെ ആരു കല്യാണം കഴിക്കും അതുകൊണ്ട് സഹോദരിമാരെ നിങ്ങൾ ആരും ഈ തോന്നിവാസത്തിനു സപ്പോർട്ട് ചെയ്യരുതേ കാരണം ഇത് ഒരു തരം പ്രാന്ത് ആണ് സൈക്യാട്രിസ്റ്റിനെ കണ്ടു ചികിത്സയാണ് ഇതിനു വേണ്ടത് ,Homophobia
J J nivine allathe vere aarem imagine cheyan pattila ennanu geethu mohandas um paranje,Non-anti-LGBT+ content
Pavangal aalle manasinu vishamangal marakkana oronnu parayanennu tonnunu,Non-anti-LGBT+ content
Valla negative comments undo ennu nokkan vannatha,Non-anti-LGBT+ content
ഓവർ make up ഒഴിവാക്കിയാൽ നന്നായിരുന്നു,Non-anti-LGBT+ content
കുണ്ടൻ എന്നാണ് വിളിക്കാറ്,Non-anti-LGBT+ content
സത്യം തമ്പിനയിൽ കണ്ട ട്രാൻസ്,Non-anti-LGBT+ content
Edoithokke Ella kalathum und,Non-anti-LGBT+ content
looth nebiyude kalathilekk kalam vazi marumoallahu kakkatte,Non-anti-LGBT+ content
മീശേം താടിയും വളർത്തിട്ട് കാര്യം ഇല്ലാ ആണുങ്ങളെ പോലെ ജീവിക്കാഡോ ആണുങ്ങളുടെ വില കളയാൻ ആയിട്ട് ഇറങ്ങിക്കോളും,Homophobia
Lokavasanathinta naalukal ennapetu thudangi,Homophobia
Homosexuality exploit cheyunna oru vibhagam und,Non-anti-LGBT+ content
Purathakana parents und athum samskaram allarikum alle,Non-anti-LGBT+ content
Engne oru muzhuvan sthree muzhuvan purushan enna ganathile peduthaan pattum Sthreek reproduce cheyyunnath pole ivarkk cheyyan pattum0 Innathe technology karanam kuttikal ayekkam Ithonnum illayiriunnenkil engne jeevikkum Chilar bisexual aanenn avakaashapedunnu apol nammal engne avre sthreeyute koottathil allenkil purushakoottathil peduthum Ithonnum praayogikamlla Ithonnum prakruthikku inangunna karyangal alla Ipol nammuk sahathapam thonnaam Nale nammude kuttikale ivar ethra influence cheyyumennu kandariyaam,Transphobia
കുന്ദൻ maar allathavar like adikk,Homophobia
