text,category
Pro please Boxing parnk part2                ,Non-anti-LGBT+ content
I was waiting for this to be released in theaters for so many years after watching this teams Interview in Behindwoods and finally Im happy now                ,Non-anti-LGBT+ content
I support ur rights but stop with the stupid abbreviations                ,Non-anti-LGBT+ content
real life movie is possible                ,Non-anti-LGBT+ content
Nice i really semtimented for that dance                ,Non-anti-LGBT+ content
Im crying about see this movie                  ,Non-anti-LGBT+ content
Bumble bee  tell me what change makes them to like gay Whats that change                ,Non-anti-LGBT+ content
it adhu but anaal really she has acted nicely great speech by malini                ,Non-anti-LGBT+ content
Dont hate thirunangai just love  like if u do that Jesus will bless all 4 sweden                ,Non-anti-LGBT+ content
Dear students you will come to school on Feb 1st 2021 the purpose of NOMINAL ROLE preparation regarding Without fail                ,Non-anti-LGBT+ content
Transgender actress Why this tag                ,Non-anti-LGBT+ content
Mani this is Asif nice to see your sincere thanks on screen your are always welcome call me as soon as possible for a discussion i lost ur number this is mine9791094468 waiting quite sad that u r not in any social media                ,Non-anti-LGBT+ content
Please put another live video bro                ,Non-anti-LGBT+ content
Anybody Madurai please give number                ,Non-anti-LGBT+ content
But does hindhuism really forbid homosexuality  I feel like its more Our society that hides behind the religion to covey their own opinions  I feel like Hinduism is really inclusive                ,Non-anti-LGBT+ content
We support you Sister You are an inspiration for others                ,Non-anti-LGBT+ content
I am waiting part 2 this video                ,Non-anti-LGBT+ content
Its just my view about this topic I agree all the things u told about science psychology religion and taught process of homosexual ppl All these things start at the same point as of my knowledge bcoz a persons gene hav all the activities of their ancestors which includes everything like knowledge artsdisease physical appearance etc If we travel back to some 1000s of yrs back i wont be an issue with gene instead as psychology say it might be a practice of ppl living b4 which got into the gene and now its termed as the genetical change I will not share my opinion as right or wrong abt this but i feel like this is not natural in early days which is natural Thr was a genetical change happened due to the practice of thr ppl living long b4  Thats all abt it                ,Non-anti-LGBT+ content
042  I bet you arent a Tamil  If its required for the society of your state then will ya let your sister to marry her gf  Leave Tamils n Tamil Nadu from your north culture                ,Non-anti-LGBT+ content
u are really great man u sacrificed ur own life for ur mom and family               ,Non-anti-LGBT+ content
Good appreciate u for saying in public                ,Non-anti-LGBT+ content
True soul amma neegau deserve a great salute and hug she really made me cry                ,Non-anti-LGBT+ content
What a such a girl she is god                 ,Non-anti-LGBT+ content
Bro super acting                ,Non-anti-LGBT+ content
My point of view indian cultures not accept for this life but super story                ,Non-anti-LGBT+ content
Bro I want my share                ,Non-anti-LGBT+ content
This is satanic decision BJP is destroying our people I mean Tamillan                ,Homophobia
robert pavey they never asked heterosexuals to be homosexuals  they fought for their rights  anti gay rule was Imposed by British                 ,Non-anti-LGBT+ content
Really pertastic bro at shop                ,Non-anti-LGBT+ content
Shrinivasan Kannan  societies what society we r the society so I accept that relationship when you will change some time so society will accept lesbian gay bisexual transgender                ,Non-anti-LGBT+ content
vasim asaraf I think ur name say that u r muslim And the number 4 also proves it K yes u can marry 4 women if they are ok with it I have no problem Unless its not forced u can do it Bt does ur Islam allow women to marry four man This is the question If I marry four man then dont ask me Leave marrying four men lol if girl is in relationship with more than one guy Ur language has very beautiful words Whn religion condemned polygamy for men lol They have all freedom to marry how many they want It was IPC that made a law for monogamy In Tamil Nadu only great grand fathers were getting married to multiple woman                ,Non-anti-LGBT+ content
Hamelton Melvin   thank you so much dudeand in comming your futureyou will get long happy live and full enjoyment Keep goingyou are a  good personso congratulations for your happy life                ,Non-anti-LGBT+ content
Go to hell                ,Homophobia
Good thoughts Nice Akka I have to meet you once in my life Respect u to the core                 ,Non-anti-LGBT+ content
Society is celebrating IPC 377 decriminalisation where intercaste marriage is still a taboo                ,Non-anti-LGBT+ content
I too feel the same Her shyness is cute                ,Non-anti-LGBT+ content
Yehu r correct                ,Non-anti-LGBT+ content
Seriously hats off                ,Non-anti-LGBT+ content
Then dont use Mobile phones transport system etc  Because all these are against nature  Causing damage to nature               ,Non-anti-LGBT+ content
Ihsan Ahmeth  super dude  Thanks                ,Non-anti-LGBT+ content
Super bro nalla video she is very pure hearted person                ,Non-anti-LGBT+ content
1003 that moment when he said ENNAIYA porutha alavuku  proved he is pakka Maduraijust a guess                ,Non-anti-LGBT+ content
