text,category
"  tampoco tiene mucha lógica decir, qué se defiende los derechos de las personas #LGTBI y gobernar en el ayuntamiento con el apoyo de Vox. #7julio120",Non-anti-LGBT+ content
" No, es más bien que, si la noticia dice que la agresión fue realizada por ""moros"", entonces culpables automáticamente, problema sistémico, hay que hacer algo...En los demás casos, o la agresión es violencia LGTB o de género: habrá que esperar a ver, una desgracia concreta...",Non-anti-LGBT+ content
" Estimado cara cerdo, qué obsesión tiene usted con todo lo gay y lgtbi!!! La homofobia no es más que la admisión implícita de ciertos deseos, debería liberarse y sacar la marica que lleva dentro, eso y cambiarse de peluquero, de nada",Non-anti-LGBT+ content
" Sigo, desde que tu lider esta cin un homofobo cono Viktor Orban y vuestro discurso en contra de los derechos LGTB y demás, han subido lad agresiones homofobas y  demás. Ya no decir de la violencia machista.",Non-anti-LGBT+ content
"¿SI eres homosexual, tienes que pertenecer a la causa LGTBI? ¿O hay otras asociaciones? ¿No se puedes ser lo que uno quiera, y punto, sin pertenece a ninguna asociación?#LGTBI",Non-anti-LGBT+ content
"Ningún problema. Qué los uniformados salgan entre ellos disfrazados de trans, gays, tortilleras, Unas cuantas fotitos con los ojos y labios pintados, (no como los carapintadas) y a cheques sin fondos Rossi le dicen q no hay q incorporar a nadie. Son todos trans y listo!",Transphobia
"Están expulsando a las mujeres del deporte de competición.Cuanfo  habla de derechos trans, habla de borrar el sexo y que cada cual elija en su dni lo que le pese. No sé si es sólo una tontita ignorante o una mercenaria miserable.",Transphobia
"— LEONARDO . Mira le han colocado una señora que no existe simplemente para proporcionarnos una pareja heterosexual convincente a este bisexual icon. Besides la deslgbtqi+izacion de la serie, es una puta pasada y super recomendadisima. Simplemente no os esperéis mucha gay stuff.",Homophobia
"Esa frase es la más insolita de su video. Me encantaría saber si en su ecuación la madre es lesbiana o neutra, o el papá es borracho pero no le pega y solo la insulta, el niño que coños sale. Y también, en ese caso q explica, si es niña, sale puta? Ya q la madre gusta de hombres",Homophobia
" Li priticciín di lis dirichis di lis pirsinis #LGTBI sipini il ivinci hicii ini siciidid mís jisti, iguiilitirii i in difinitivi mís dimicrítiqui.Después de boicotear los derechos de la gente trans suenas asín intentando rascar votos.Anda al peo.",Non-anti-LGBT+ content
"una cosa voy a decir, en el black live matter, el 8M o los casos de violencia machista la comunidad LGTBI+ siempre ha estado apoyando, ahora que esta habiendo esta ola de agresiones homofobas no veo ninguna muestra de apoyo por su parte…",Non-anti-LGBT+ content
¿Sabes que es el Proyecto Monocuc❤️? Es la Estrategia Distrital que generará el reencuentro y el fortalecimiento de las personas Transgénero 🏳️‍⚧ y sus familias. ¡Te invitamos a ser parte del lanzamiento!. 🗓 Hoy. ⏰4:00 p.m. #FestivalPorLaIgualdad2020,Non-anti-LGBT+ content
"Y el marica de José María Carbonell, que era más bombero que un putas, alentaba al pueblo de Santa Fe para que se unieran a los Criollos.",Homophobia
 ⚠️ Contacta con y hazles saber que están utilizando su plataforma para hacer burlas amenazantes sobre violencia contra homosexuales. #LoveIsLove #NoHate #LGBT,Non-anti-LGBT+ content
"La prensa es increíble, macho, es que las mujeres y las personas LGTB nos morimos por una paliza o un cuchillo clavado en la espalda, si es que xdddddd",Non-anti-LGBT+ content
 Qué va. El de terrassa era un chaval random (hetero) al q le pegaron a secas. No tiene nada q ver con violencia lgtb,Non-anti-LGBT+ content
Es tan gilipollas que no sabe distinguir entre sexualidad e identidad de género JAJAJA,Transphobia
¿Alguien sabe si se va a hacer alguna mani o algo en Lucena por los casos de violencia LGBTI?,Non-anti-LGBT+ content
Jurisprudencia: #DDHH de las personas LGBTI+ en materia de no discriminación en razón de géneroViolencia contra Personas LGBTI en América. OAS/Ser.L/V/II.rev.2“La ha encontrado que en determinados contextos lo que conduce a actos de discriminación o violencia…,Non-anti-LGBT+ content
Los maricones normativos blancos,Homophobia
"Nop, fascismo es borrar a las mujeres y la biología a criterio de hombres. Son mujeres trans, no han nacido mujeres, por mucho que se operen munca van a serlo biologicamente.",Transphobia
"Por favor reportad a este ser cavernícola. ""Feminista radical"". Facha diría yo. . El odio de gentuza así provoca cientos de suicidios de personas trans, esto hay que pararlo.",Transphobia
"Entonces están designed o qué el patriarcado apoya la agenda trans y al mismo tiempo agrede, discrimina, viola y mata personas trans... ??? Por qué todos saben que el machismo siempre ha estado a favor de lo LGBT...",Transphobia
"Claro que no. Hay personas trans que ni se cortan el pelo, ni se operan ni se hormonan y siguen siendo igual de valides y tú no eres nadie pa decir lo contrario ✨🌸. Lo que hagan o dejen de hacer con su cuerpo no define su género, lo hacen elles, y a ti te debería dar igual",Non-anti-LGBT+ content
Mucho ánimo eres de los pocos que se pueden considerar periodistas hoy en día. Espero que sigas defendiendo siempre tus ideales por encima de todo. #ascoanarosa #fuckvox #LGTBI,Non-anti-LGBT+ content
Lo siento pero dime algún chiste que no tengan que incluir a trans,Transphobia
Entonces para que putas abre una empresa si no quiere pagar empleados ? La gente es bien marica a lo bien. A pero para estrenar carro del año y viajar a la puta mierda si no les duele el bolsillo. Malparios a pagar ps,Homophobia
" Esto me da a mi como doctor potestad a que si me da la gana de no atenderte por mi religion o cualquiera de los puntos que estan ahi no puedes demandarme por discriminacion, esto no es algo que afecta a LGTb …. Imbecil",Non-anti-LGBT+ content
Respeto es lo que necesitan las personas trans. La diversidad sexual y de género  es una riqueza de la humanidad,Non-anti-LGBT+ content
"Son una maldita secta donde luchan por ser ""las más oprimidas"" y ""las víctimas supremas oprimidas por los trans"" y si les llevas la contraria eres ""un machirulo queer"" o ""una traidora que antepone los penes a las vidas de las mujeres"". En serio, las TERF son una auténtica SECTA.",Transphobia
Hoy se subió un compañere trans a vender sus caramelos y dijo sentirse orgullose de los jóvenes que salieron a marchar sobre todo de Inti y Bryan. Además está harta de este congreso machista y homofóbico! Que no se vaya la rabia!,Non-anti-LGBT+ content
"-Cada año hace más calor por el cambio climát-. -Pues ponte a follar y dale un nieto a tu madre, puta maricona. Es lo que tenéis que hacer los putos perroflautas estos.",Homophobia
que pedazo de gay gonza,Homophobia
"Un trans diciendo que quiere ver decapitados a los que se van a Andorra y no pasa nada, yo digo que quiero ver decapitados a los trans y me banean de todos lados.",Transphobia
"las infancias trans son violencia. literalmente un niño jugando con muñecas no está en el cuerpo equivocado, DEJEN A LA INFANCIA SER INFANCIA y métanse su género por la cola",Transphobia
"Hello, hello, hello.....!  🌈🦋 Bom día, Pinches Jotos.... 😄#FelizDiaDelOrgullo#Orgullo2021 #OrgulloLGTBI #HappyPrideDay 🏳️‍🌈#LGBTTTIQ",Non-anti-LGBT+ content
Jajajajajajajajajaja pena t deve dar Ricardo Álvarez la política t está dando de vuelta lo q has sembrado trans 450 por vos y Juan Diego el Doctor perdió ni de diputado estas saliendo sos un fracaso en el partido nacional.,Transphobia
"¿Estáis de acuerdo con que hombres que se autodeterminan mujeres sin hacer absolutamente ninguna transición médica compitan en los deportes femeninos y arrasen porque son biológicamente más fuertes, resistentes y grandes? Pues di NO A LA LEY TRANS DE",Transphobia
"Etiqueta a tu amigo gay! Empiezo yo orgulloso de ti brother, eres admirable! #Pride2021      #pride      #Orgullo2021      #OrgulloLGTBI",Non-anti-LGBT+ content
" Ah sí, sí. Totalmente. Es muy triste que se use la defensa de los derechos #LGTBI solo cuando interesa económicamente. Como símbolo no, pero cuanto a publicidad, todo suma. La verdad es que es muy triste el postureo y tú lo has dicho… cretinismo. | #EURO2020 #Orgullo2021",Non-anti-LGBT+ content
"Menuda tonteria. Pues de eso nada, una mujer es una mujer 100% y una trans es una trans, punto.",Transphobia
"En el momento en el que has dicho que la identidad de género, que también tiene influencia genética, no tiene fundamento biológico.",Transphobia
 Esperando una manifestación LGTBI en Barcelona por esta violencia.O son MENAS indepes y todo vale???,Non-anti-LGBT+ content
"Yo le echaría bolas con una Trans, siempre y cuando no tuviera pene",Transphobia
yo ni loco ql lo único q daban a las 1 de la tarde era la puta sección de Héroes plw mala puro Ben 10 y max steel en esa wea y después te tiraban 20 capitulos de Pokémon blanco y negro con ese wn de pelo verde homosexual q tenía un mono todo inutil no como N. N dame un hijo porfa,Homophobia
" Si te entiendo. Es triste, pero creo que es necesario. Ojalá me equivoque pero la gente está muy quemada y se viene más pobreza, hambre, rabia y eso suele desembocar en violencia contra lgtb+ (de todos los géneros), mujeres, pobres...",Non-anti-LGBT+ content
"Siempre lo diré el homosexualismo y los trans son enfermedades y no son géneros,lo que requieren son si tratamientos especiales,en centros especiales, para que no perturben a la sociedad y sigan haciendo daño como este caso por ejemplo, adiós a ideología de género no hay de otra.",Transphobia
" No está demostrado q la paliza fuera por ser gay, d todas formas España es uno d los países donde la comunidad lgtb más derechos tiene,y fue el primero creo en legalizar las bodas gays.Además el número de agresiones homofobas en españa es bajisimo en proporción a su número de hab",Non-anti-LGBT+ content
"Decir esto es no tener ni puta idea de nada y no haber viajado a muchos países. Aunque estos hechos ocurran (y hay que denunciarlos y hacer que no vuelvan a ocurrir), afortunadamente España es uno de los mejores países en los que ser libre siendo gay.",Non-anti-LGBT+ content
"Fingir que la gente se va a acordar más de este caso que de los de violencia machista es absurdo. Dime, si buscar, tres nombres de personas LGBT+ asesinadas o agredidas.Yo te puede decir: Juana Rivas, Marta del Castillo, y Diana Quer. Sin buscar, de cabeza.",Non-anti-LGBT+ content
