text,category
Ji mule lahan Pani jast karun mulin barobar astat.ti mule tsi hotat,Homophobia
समाधान कुंभार सुरडी तुमच्या लग्नाला खुप खुप शुभेच्छा,Non-anti-LGBT+ content
"किन्नरना समाजात खरच मानाने जगायला मिळाले पाहिजे, समाजाने किन्नरना स्वीकारले पाहिजे.",Non-anti-LGBT+ content
"जोडप्याला शुभेच्छा 💐 
भारतात आणि महाराष्ट्र/विदर्भात अशी मानसिकता निमार्ण नाही झाली, ज्याने समलैंगिक संबंध/लग्नाला मान्यता मिळेल. लोकं जुन्या व अडानी विचारांची आहेत. समलैंगिक माणसं ही फक्त माणसच आहेत.

",Non-anti-LGBT+ content
Mi hech lihinar hoto,Non-anti-LGBT+ content
गुडन गरम नका पित जाऊ सर,Non-anti-LGBT+ content
Kash as sarv tumchya sarkhyana lokana ek chagla vekti bhetun tyancha he ek chagal sansar asava karan tyanche pn swapn ahet tyana pn life ekdach bhetate mg ka samaj asa karto mi pn nagarsol chi ahe and tumchya sasar chya family la olakhta happy married life 🤗,Non-anti-LGBT+ content
   @mbbsismydream9839  त्यांच्या आया बहिणींचा काय दोष? मूर्ख तर ही अडाणी कुत्री आहेत. स्वतःला मर्द समजणारी आणि असे पांचट विनोद करून दुसऱ्यांच मनोबल हतबल करणारी. वेडी जनावर😂😂😂,Non-anti-LGBT+ content
Tya doghanche pdil aushy kup sukache jao hi devakde prathna,Non-anti-LGBT+ content
केळ रे बो,Non-anti-LGBT+ content
377 Sahi fhaisla Aahe...pratekala aaple jivan jagnyacha aadhikar Aahe... Mai Khush hu ye fhesle se....,Non-anti-LGBT+ content
kahi pn karaila aaj kal chi generation,Transphobia
"पुरुष समलिंगी हे निसर्गाच्या विरुद्ध नाही का वाटत?
निसर्गाने पुरुषी शरीरात तशी काही व्यवस्था केलीच नाहीये मग जबरदस्तीने अनैसर्गिक रित्या संभोग करण्यात काय अर्थ?? संभोगा मध्ये दोन्ही व्यक्तींना आनंद भेटणे जरुरी आहे...पुरुष समलिंगी मध्ये तो भेटत असेल असे मला नाही वाटत...असे कुठले हार्मोन्स अथवा शारीरिक स्त्राव पाझरत असतील असे मला नाही वाटत.....त्यामुळे उगाच व्यक्ती स्वातंत्र्याच्या नावाखाली नैसर्गिक शरिराची का वाट लावावी ? आणि अश्या अनैसर्गिक कृत्याला परवानगी मिळावी हा अट्टाहास का ? मला काही समजले नाही.
",Homophobia
